- 10050 202501      THUNDER BAY, ONTARIO             18320024825 8913      EST1
5 10050 2025010110      99999999999999999999999999999999999999999999999999
5 10050 2025011120      99999999999999999999999999999999999999999999999999
5 10050 20250121319999999999999999999999999999999999999999999999999999999999999
6 10050 202501     9999999999999999999999 999 99
- 10050 202502      THUNDER BAY, ONTARIO             18320024825 8913      EST1
5 10050 2025020110      99999999999999999999999999999999999999999999999999
5 10050 2025021120      99999999999999999999999999999999999999999999999999
5 10050 20250221289999999999999999999999999999999999999999999999
6 10050 202502     9999999999999999999999 999 99
- 10050 202503      THUNDER BAY, ONTARIO             18320024825 8913      EST1
5 10050 2025030110      99999999999999999999999999999999999999999999999999
5 10050 2025031120      99999999999999999999999999999999999999999999999999
5 10050 20250321319999999999999999999999999999999999999999999999999999999999999
6 10050 202503     9999999999999999999999 999 99
- 10050 202504      THUNDER BAY, ONTARIO             18320024825 8913      EST1
5 10050 2025040110      99999999999999999999999999999999999999999999999999
5 10050 2025041120      99999999999999999999999999999999999999999999999999
5 10050 202504213099999999999999999999999999999999999999999999999999999999
6 10050 202504     9999999999999999999999 999 99
- 10050 202505      THUNDER BAY, ONTARIO             18320024825 8913      EST1
5 10050 2025050110      99999999999999999999999999999999999999999999999999
5 10050 2025051120      99999999999999999999999999999999999999999999999999
5 10050 20250521319999999999999999999999999999999999999999999999999999999999999
6 10050 202505     9999999999999999999999 999 99
- 10050 202506      THUNDER BAY, ONTARIO             18320024825 8913      EST1
5 10050 2025060110      99999999999999999999999999999999999999999999999999
5 10050 2025061120      99999999999999999999999999999999999999999999999999
5 10050 202506213099999999999999999999999999999999999999999999999999999999
6 10050 202506     9999999999999999999999 999 99
- 10050 202507      THUNDER BAY, ONTARIO             18320024825 8913      EST1
5 10050 2025070110      99999999999999999999999999999999999999999999999999
5 10050 2025071120      99999999999999999999999999999999999999999999999999
5 10050 20250721319999999999999999999999999999999999999999999999999999999999999
6 10050 202507     9999999999999999999999 999 99
- 10050 202508      THUNDER BAY, ONTARIO             18320024825 8913      EST1
5 10050 2025080110      99999999999999999999999999999999999999999999999999
5 10050 2025081120      99999999999999999999999999999999999999999999999999
5 10050 20250821319999999999999999999999999999999999999999999999999999999999999
6 10050 202508     9999999999999999999999 999 99
- 10050 202509      THUNDER BAY, ONTARIO             18320024825 8913      EST1
5 10050 2025090110      99999999999999999999999999999999999999999999999999
5 10050 2025091120      99999999999999999999999999999999999999999999999999
5 10050 202509213099999999999999999999999999999999999999999999999999999999
6 10050 202509     9999999999999999999999 999 99
- 10050 202510      THUNDER BAY, ONTARIO             18320024825 8913      EST1
5 10050 2025100110      99999999999999999999999999999999999999999999999999
5 10050 2025101120      99999999999999999999999999999999999999999999999999
5 10050 20251021319999999999999999999999999999999999999999999999999999999999999
6 10050 202510     9999999999999999999999 999 99
- 10050 202511      THUNDER BAY, ONTARIO             18320024825 8913      EST1
5 10050 2025110110      99999999999999999999999999999999999999999999999999
5 10050 2025111120      99999999999999999999999999999999999999999999999999
5 10050 202511213099999999999999999999999999999999999999999999999999999999
6 10050 202511     9999999999999999999999 999 99
- 10050 202512      THUNDER BAY, ONTARIO             18320024825 8913      EST1
5 10050 2025120110      99999999999999999999999999999999999999999999999999
5 10050 2025121120      99999999999999999999999999999999999999999999999999
5 10050 20251221319999999999999999999999999999999999999999999999999999999999999
6 10050 202512     9999999999999999999999 999 99
- 10220 202501      ROSSPORT, ONTARIO                18320024850 8731      EST1
5 10220 2025010110      99999999999999999999999999999999999999999999999999
5 10220 2025011120      99999999999999999999999999999999999999999999999999
5 10220 20250121319999999999999999999999999999999999999999999999999999999999999
6 10220 202501     9999999999999999999999 999 99
- 10220 202502      ROSSPORT, ONTARIO                18320024850 8731      EST1
5 10220 2025020110      99999999999999999999999999999999999999999999999999
5 10220 2025021120      99999999999999999999999999999999999999999999999999
5 10220 20250221289999999999999999999999999999999999999999999999
6 10220 202502     9999999999999999999999 999 99
- 10220 202503      ROSSPORT, ONTARIO                18320024850 8731      EST1
5 10220 2025030110      99999999999999999999999999999999999999999999999999
5 10220 2025031120      99999999999999999999999999999999999999999999999999
5 10220 20250321319999999999999999999999999999999999999999999999999999999999999
6 10220 202503     9999999999999999999999 999 99
- 10220 202504      ROSSPORT, ONTARIO                18320024850 8731      EST1
5 10220 2025040110      99999999999999999999999999999999999999999999999999
5 10220 2025041120      99999999999999999999999999999999999999999999999999
5 10220 202504213099999999999999999999999999999999999999999999999999999999
6 10220 202504     9999999999999999999999 999 99
- 10220 202505      ROSSPORT, ONTARIO                18320024850 8731      EST1
5 10220 2025050110      99999999999999999999999999999999999999999999999999
5 10220 2025051120      99999999999999999999999999999999999999999999999999
5 10220 20250521319999999999999999999999999999999999999999999999999999999999999
6 10220 202505     9999999999999999999999 999 99
- 10220 202506      ROSSPORT, ONTARIO                18320024850 8731      EST1
5 10220 2025060110      99999999999999999999999999999999999999999999999999
5 10220 2025061120      99999999999999999999999999999999999999999999999999
5 10220 202506213099999999999999999999999999999999999999999999999999999999
6 10220 202506     9999999999999999999999 999 99
- 10220 202507      ROSSPORT, ONTARIO                18320024850 8731      EST1
5 10220 2025070110      99999999999999999999999999999999999999999999999999
5 10220 2025071120      99999999999999999999999999999999999999999999999999
5 10220 20250721319999999999999999999999999999999999999999999999999999999999999
6 10220 202507     9999999999999999999999 999 99
- 10220 202508      ROSSPORT, ONTARIO                18320024850 8731      EST1
5 10220 2025080110      99999999999999999999999999999999999999999999999999
5 10220 2025081120      99999999999999999999999999999999999999999999999999
5 10220 20250821319999999999999999999999999999999999999999999999999999999999999
6 10220 202508     9999999999999999999999 999 99
- 10220 202509      ROSSPORT, ONTARIO                18320024850 8731      EST1
5 10220 2025090110      99999999999999999999999999999999999999999999999999
5 10220 2025091120      99999999999999999999999999999999999999999999999999
5 10220 202509213099999999999999999999999999999999999999999999999999999999
6 10220 202509     9999999999999999999999 999 99
- 10220 202510      ROSSPORT, ONTARIO                18320024850 8731      EST1
5 10220 2025100110      99999999999999999999999999999999999999999999999999
5 10220 2025101120      99999999999999999999999999999999999999999999999999
5 10220 20251021319999999999999999999999999999999999999999999999999999999999999
6 10220 202510     9999999999999999999999 999 99
- 10220 202511      ROSSPORT, ONTARIO                18320024850 8731      EST1
5 10220 2025110110      99999999999999999999999999999999999999999999999999
5 10220 2025111120      99999999999999999999999999999999999999999999999999
5 10220 202511213099999999999999999999999999999999999999999999999999999999
6 10220 202511     9999999999999999999999 999 99
- 10220 202512      ROSSPORT, ONTARIO                18320024850 8731      EST1
5 10220 2025120110      99999999999999999999999999999999999999999999999999
5 10220 2025121120      99999999999999999999999999999999999999999999999999
5 10220 20251221319999999999999999999999999999999999999999999999999999999999999
6 10220 202512     9999999999999999999999 999 99
- 10750 202501      MICHIPICOTEN, ONTARIO            18320024758 8454      EST1
5 10750 2025010110      99999999999999999999999999999999999999999999999999
5 10750 2025011120      99999999999999999999999999999999999999999999999999
5 10750 20250121319999999999999999999999999999999999999999999999999999999999999
6 10750 202501     9999999999999999999999 999 99
- 10750 202502      MICHIPICOTEN, ONTARIO            18320024758 8454      EST1
